# (lidar frame index) (lidar frame timestamp) (camera frame index) (camera fsync begin timestamp) (camera fsync end timestamp) (overlap begin timestamp) (overlay end timestamp)
69 1757924498903123 2069 1757924498926667 1757924498960000 1757924498926667 1757924498944407
70 1757924499901432 2099 1757924499925667 1757924499959000 1757924499925667 1757924499942716
71 1757924500900093 2128 1757924500891667 1757924500925000 1757924500908103 1757924500925000
72 1757924501900414 2159 1757924501923667 1757924501957000 1757924501923667 1757924501941698
73 1757924502900209 2189 1757924502922667 1757924502956000 1757924502922667 1757924502941493
74 1757924503899892 2219 1757924503921667 1757924503955000 1757924503921667 1757924503941176
75 1757924504900455 2249 1757924504921667 1757924504955000 1757924504921667 1757924504941739
76 1757924505900493 2279 1757924505920667 1757924505954000 1757924505920667 1757924505941777
77 1757924506900158 2309 1757924506919667 1757924506953000 1757924506919667 1757924506941442
78 1757924507900812 2339 1757924507918667 1757924507952000 1757924507918667 1757924507942096
79 1757924508900324 2369 1757924508917667 1757924508951000 1757924508917667 1757924508941608
80 1757924509900096 2399 1757924509916667 1757924509950000 1757924509916667 1757924509941380
81 1757924510900461 2429 1757924510916667 1757924510950000 1757924510916667 1757924510941745
82 1757924511900799 2458 1757924511915667 1757924511949000 1757924511915667 1757924511942083
83 1757924512900177 2488 1757924512914667 1757924512948000 1757924512914667 1757924512941461
84 1757924513899825 2518 1757924513913667 1757924513947000 1757924513913667 1757924513941109
85 1757924514900422 2548 1757924514912667 1757924514946000 1757924514912667 1757924514941706
86 1757924515900664 2578 1757924515911667 1757924515945000 1757924515911667 1757924515941948
87 1757924516900290 2608 1757924516911667 1757924516945000 1757924516911667 1757924516941574
88 1757924517899889 2638 1757924517910667 1757924517944000 1757924517910667 1757924517941173
89 1757924518900417 2668 1757924518909667 1757924518943000 1757924518909667 1757924518941701
90 1757924519901411 2698 1757924519908667 1757924519942000 1757924519909421 1757924519942000
91 1757924520900812 2728 1757924520907667 1757924520941000 1757924520908822 1757924520941000
92 1757924521899939 2758 1757924521906667 1757924521940000 1757924521907949 1757924521940000
93 1757924522900413 2788 1757924522905667 1757924522939000 1757924522908423 1757924522939000
94 1757924523900136 2818 1757924523905667 1757924523939000 1757924523908146 1757924523939000
95 1757924524901034 2848 1757924524904667 1757924524938000 1757924524909044 1757924524938000
96 1757924525900619 2878 1757924525903667 1757924525937000 1757924525908629 1757924525937000
97 1757924526899839 2908 1757924526902667 1757924526936000 1757924526907849 1757924526936000
98 1757924527900478 2938 1757924527901667 1757924527935000 1757924527908488 1757924527935000
99 1757924528900777 2968 1757924528900667 1757924528934000 1757924528908787 1757924528934000
100 1757924529900262 2998 1757924529900667 1757924529934000 1757924529908272 1757924529934000
101 1757924530900210 3028 1757924530899667 1757924530933000 1757924530908220 1757924530933000
102 1757924531900122 3058 1757924531898667 1757924531932000 1757924531908132 1757924531932000
103 1757924532901356 3088 1757924532897667 1757924532931000 1757924532909366 1757924532931000
104 1757924533900708 3118 1757924533896667 1757924533930000 1757924533908718 1757924533930000
105 1757924534900504 3148 1757924534895667 1757924534929000 1757924534908514 1757924534929000
106 1757924535900240 3178 1757924535895667 1757924535929000 1757924535908250 1757924535929000
107 1757924536900066 3208 1757924536894667 1757924536928000 1757924536908076 1757924536928000
108 1757924537900587 3238 1757924537893667 1757924537927000 1757924537908597 1757924537927000
109 1757924538899689 3268 1757924538892667 1757924538926000 1757924538907699 1757924538926000
110 1757924539900221 3298 1757924539891667 1757924539925000 1757924539908231 1757924539925000
111 1757924540901176 3329 1757924540924667 1757924540958000 1757924540924667 1757924540942460
